Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
50,1,3,9,3,2,2,4,0,3,0,2,1,4,0,0,1,17683,1
35,1,3,8,3,1,3,3,0,3,0,2,0,2,1,0,1,17014,0
36,1,1,11,2,1,2,4,0,3.58103661,0,1,1,2,1,0,1,95000,0
33,0,3,6,2,1,2,2,1,5,0,3,0,3,1,0,2,20376,0
35,1,1,10,2,2,3,3,0,3,1,2,0,4,0,0,1,16951,0
27,1,1,8,2,1,2,3,0,5,1,2,0,3,0,1,1,17341,0
26,1,1,31,2,2,2,5,0,3,2,2,0,2,1,1,1,17293,1
27,0,3,14,2,2,2,3,3,3,3,2,0,2,1,0,3,23726,0
37.62226512,0,1,6,3,1,2,3,1,3,2,2,0,3,1,0,2,22347,0
41,1,1,18,1,1,2,3,2,3,0,2,0,4,1,0,4,34545,1
34,0,3,15.49083459,3,2,3,3,1,3,2,1,0,5,1,1,2,19568,0
37,1,1,25,2,2,3,3,0,4,0,5,0,4,1,1,1,18022,0
46,0,3,11,3,2,3,3,1,3,2,5,1,5,1,1,2,20772,0
35,1,1,14,2,2,2,2,0,3,0,2,0,5,1,1,1,17269,0
48,1,1,6,2,2,3,4,3,3,2,1,1,5,0,2,3,20381,1
37.62226512,1,1,11,1,2,2,3,0,3,2,2,1,2,1,0,1,18441,1
44,1,3,6,3,1,3,3,1,5,1,6,1,2,0,0,2,20454,0
35,0,1,17,3,2,3,4,3,5,0,3,1,5,1,1,3,24884,0
37.62226512,1,3,29,3,1,2,4,1,3,0,1,1,2,1,0,2,22347,0
33,0,1,6,2,0,3,3,3,3,3,2,1,2,1,0,3,28458,0
35,0,3,24,2,2,3,3,3,5,0,2,0,4,1,0,3,24069,0
37.62226512,1,1,29,3,1,1,3,0,5,0,4,1,4,1,0,1,22347,0
31,1,1,13,2,2,2,3,1,3,1,4,0,3,1,0,2,20915,0
37,1,1,6,2,2,2,4,1,3,1,2,0,5,1,1,2,20993,0
32,1,1,6,3,2,2,3,1,3,0,2,1,4,1,0,2,21162,0
38,0,1,35,2,1,2,3,1,3,2,2,0,3,1,0,2,17406,0
50,1,1,13,3,1,2,4,2,3,1,6,1,4,1,1,4,33740,0
59,1,3,31,2,1,2,3,3,5,3,1,0,3,1,0,3,22637,0
36,1,1,14,1,1,2,3,3,3,1,2,0,4,1,1,3,25096,0
55,1,1,14,3,1,2,3,4,3,1,3,1,3,0,1,0,29756,0
36,0,1,17,2,2,3,4,1,4,3,2,0,4,1,1,2,21499,0
45,1,1,13,2,2,2,3,3,5,1,3,0,3,1,1,3,24724,0
35,0,1,6,3,2,3,3,0,5,0,5,0,2,0,1,1,17194,0
37.62226512,1,1,15,3,2,3,4,0,3,0,1,1,2,0,1,1,18388,1
59,0,3,6,2,1,2,4,1,3,2,1,0,5,1,1,2,20473,0
29,1,1,8,2,2,3,3,0,4,0,1,0,4,0,0,1,17703,0
31,1,1,6,3,2,2,3,0,4,2,2,0,3,0,0,1,17501,0
32,1,1,6,2,2,3,3,1,4,0,2,0,3,0,0,2,21220,0
36,1,1,12,2,1,2,2,1,3,0,4,0,2,0,0,2,18038,0
31,1,1,15.49083459,2,1,3,3,1,3,2,2,0,5,0,1,2,22347,0
35,1,3,15.49083459,3,2,2,4,1,5,2,1,0,2,0,1,2,22347,0
45,1,1,12,2,2,2,3,3,5,0,5,1,3,0,0,3,28245,0
37,1,1,13,3,2,1,3,3,3,2,5,0,2,0,0,3,28664,0
46,1,2,11,3,2,3,3.708445179,1,4,1,1,1,5,0,1,2,20021,0
30,1,1,6,2,2,2,4,1,3,0,2,1,2,1,1,2,20126,0
35,1,1,6,3,2,1,4,0,3,2,2,0,4,1,0,1,17859,0
55,1,3,6,2,2,3,3,3,3,0,4,0,2,0,1,3,25239,0
38,0,1,12,3,1,3,5,1,3,1,1,1,2,0,2,2,20329,0
34,1,1,15.49083459,3,2,3,3,1,4,0,2,0,5,0,0,2,22347,0
56,1,1,13,2,2,2,5,3,3,3,5,0,2,0,0,3,22260,0
23,1,3,8,1,2,3,3,0,5,1,4,0,3,1,1,1,17322,0
51,1,1,15,2,2,3,3,0,3,0,4,0,3,1,0,1,17075,0
37.62226512,1,1,8,2,2,2,4,1,3,0,2,0,4,1,0,2,22347,0
46,1,3,15,3,2,3,4,3,3,3,2,0,5,0,1,3,24619,1
40,0,1,6,2,2,3,4,4,4,0,2,0,2,1,2,0,28503,0
51,1,3,27,3,2,3,3,1,3,2,1,1,5,1,1,2,20441,0
30,1,3,10,3,1,3,4,1,4,1,2,1,3,1,1,2,20209,0
46,0,1,6,3,2,2,4,3,5,0,3,1,2,1,1,3,25673,0
32,1,3,12,3,2,2,3.708445179,1,3,2,2,0,5,1,0,2,20010,0
54,1,1,8,1,1,2,3,3,3,0,1,0,4,1,0,3,28549,0
24,1,3,9,2,1,2,3.708445179,1,3,0,1,0,4,1,0,2,19999,0
37.62226512,0,3,10,3,2,2,3,1,3,0,2,0,2,1,0,2,22347,0
58,1,3,16,3,2,2,3,4,3,2,1,0,3,1,1,0,28872,0
44,0,1,29,3,2,3,3,1,4,0,5,0,3,1,0,2,17042,0
37,1,2,12,2,2,3,3,0,5,1,5,1,2,1,0,1,17073,1
32,1,1,6,2,2,3,3,0,5,2,2,0,2,0,2,1,17956,0
20,0,1,12,2,1,3,4,0,3,2,2,1,2,1,1,1,17926,1
34,1,1,15.49083459,2,1,2,3,1,3,2,2,0,3,1,0,2,19809,0
37,0,1,8,2,2,3,4,1,3,1,6,0,2,0,1,2,20163,0
59,0,2,8,2,1,2,4,2,3,0,1,0,2,1,1,4,33844,0
50,0,1,6,2,1,3,3,2,4,0,4,1,2,0,2,4,33172,0
25,1,3,11,3,2,2,4,1,3,2,2,1,3,1,0,2,20744,1
25,1,1,13,3,2,3,4,0,3,0,2,0,2,1,2,1,17889,0
22,1,1,21,3,1,2,3,0,3,2,2,0,2,1,1,1,17871,0
51,0,1,6,3,1,1,4,3,5,3,4,0,2,1,0,3,22484,0
34,0,1,13,2,2,3,5,1,3,2,2,1,5,1,1,2,21074,1
54,0,2,32,2,1,1,2,4,3,2,3,1,3,1,0,0,32328,0
24,1,1,24,2,2,2,3,0,3,0,1,0,4,1,0,1,17774,0
34,1,1,15.49083459,2,1,2,4,1,4,1,7,0,3,0,1,2,19505,0
37,1,3,9,2,2,2,3,3,3,3,3,0,3,0,0,3,22428,0
34,1,1,11,3,0,2,4,3,5,3,3,0,2,0,0,3,26631,0
36,0,3,17,1,1,3,3,3,3,0,1,0,5,0,0,3,24738,0
36,1,1,9,2,1,2,3,0,3,1,6,0,2,1,0,1,17835,0
43,0,3,32,2,2,3,3,4,3,0,2,1,2,0,0,0,31959,0
30,0,1,29,2,2,3,5,0,3,1,2,0,3,1,2,1,17613,0
33,0,3,28,3,2,3,3,1,4,0,1,0,2,0,1,2,21146,0
56,1,1,20,2,1,3,3.708445179,0,4,0,1,1,5,1,1,1,19963,1
51,1,1,12,2,2,2,3,2,3,2,1,0,5,1,0,4,34537,0
31,1,3,12,2,2,3,5,1,3,0,5,1,3,1,1,2,21172,1
26,1,1,12,2,1,2,4,0,4,0,2,0,3,1,0,1,17368,0
58,1,1,29,3,1,3,3,3,3,0,2,0,3,1,0,3,25312,1
19,1,3,28,3,2,2,3,0,3,2,2,1,2,0,1,1,16675,1
22,1,1,8,1,2,3,3,0,3,0,1,0,5,1,2,1,17523,0
49,1,1,26,3,1,3,3,1,5,0,2,0,2,1,2,2,21567,0
43,0,1,15.49083459,3,1,3,2,0,3,2,5,0,3,0,2,1,19739,0
50,0,3,18,3,0,3,3,3,3,3,5,0,5,0,0,3,24208,0
31,1,3,15.49083459,2,1,3,5,1,3,0,4,1,3,1,0,2,19559,1
41,1,3,15,2,2,3,3,3,3,1,4,1,2,0,1,3,23189,0
26,1,2,31,2,1,3,3,0,3,0,2,0,4,1,0,1,17942,0
36,1,1,12,3,2,2,3.708445179,1,4,1,7,0,4,1,1,2,19941,0
51,0,1,14,2,2,2,5,3,3,3,3,0,2,0,1,3,25650,1
39,1,3,10,2,1,2,4,1,3,0,5,0,5,1,0,2,20902,0
25,1,3,34,2,2,2,4,1,3,0,3,0,4,0,0,2,23639,0
30,1,2,15,2,2,2,3,1,3,0,1,1,3,1,1,2,21347,0
37.62226512,1,1,15,3,1,2,3,0,5,2,1,0,4,1,1,1,22347,1
37.62226512,1,1,35,3,2,2,3,0,3,2,6,0,2,1,0,1,18452,0
38,1,1,9,1,1,2,3,1,3,2,4,1,5,0,0,2,1000,0
30,1,1,24,2,1,3,3,0,3,2,2,0,2,1,0,1,17632,0
32,0,3,15.49083459,3,2,2,5,1,3,1,1,0,2,0,1,2,19668,0
30,1,1,11,1,1,2,3,0,5,1,6,0,5,1,1,1,18204,0
30,1,1,8,3,2,2,4,0,3,2,1,0,4,0,0,1,17720,0
41,0,1,16,2,2,3,4,4,5,1,5,0,2,1,0,0,32181,0
41,1,1,15,2,2,3,3,0,5,0,3,0,2,0,2,1,17238,0
19,1,1,9,3,1,3,3,0,4,2,2,0,3,1,2,1,16483,0
40,0,1,32,3,1,2,3,1,4,1,2,0,2,1,0,2,20605,0
35,1,3,6,3,2,3,3,3,4,0,2,0,4,1,2,3,22295,0
53,1,3,12,3,2,2,3,1,3,0,3,1,5,0,0,2,17306,0
45,1,1,15,2,2,2,3,1,4,1,1,0,4,1,0,2,17348,0
32,0,3,14,3,0,2,3,3,3,3,2,0,4,1,1,3,23998,0
29,0,1,15.49083459,1,2,2,3,1,3,0,2,0,3,0,1,2,22347,0
51,1,1,13,3,2,2,4,1,3,0,3,0,3,1,1,2,21132,0
58,1,1,15,3,1,3,4,0,4,0,5,1,2,1,0,1,18346,0
40,1,3,10,3,2,3,4,3,3,0,1,0,2,1,0,3,25855,0
34,0,3,8,3,1,3,3,0,3,0,7,0,5,1,2,1,17231,0
22,1,1,25,3,2,3,3,0,3,0,2,0,2,0,1,1,17323,0
27,0,1,15,3,2,2,3,0,4,1,7,0,3,0,0,1,17024,0
28,1,1,27,3,2,2,3,0,3,0,2,0,2,0,0,1,17713,0
57,1,1,30,2,2,2,2,3,3,1,4,1,4,1,1,3,24439,0
27,0,1,9,3,2,3,4,0,3,1,2,1,2,0,2,1,17566,0
50,1,1,17,2,1,2,3,2,4,2,4,0,5,1,1.187266694,4,34926,0
41,1,1,20,2,2,2,3,0,3,1,5,0,4,1,1,1,17451,0
30,1,3,11,2,1,2,3,3,3,0,3,0,4,1,1,3,24419,0
38,1,3,6,2,0,2,4,1,3,3,5,0,2,1,1,2,23686,0
32,1,1,12,2,2,2,3,0,3,2,4,0,2,0,1,1,18038,0
27,1,1,23,1,2,2,3,0,4,0,1,1,4,1,0,1,18058,0
19,0,3,6,1,1,3,5,0,5,2,1,0,3,1,1,1,17325,1
36,0,1,9,3,2,1,3,0,4,2,5,0,4,1,0,1,17088,0
30,0,1,15,3,2,3,3,1,5,1,2,0,2,0,1,2,18072,0
45,1,3,10,2,1,1,3.708445179,1,5,1,5,1,4,0,0,2,20006,0
56,1,1,15.49083459,2,1,3,3,0,5,1,5,1,4,1,1,1,22347,0
33,1,1,8,2,2,2,3,0,3,2,1,0,3,0,1,1,17500,0
19,1,1,8,2,2,2,4,0,3,2,2,0,5,0,0,1,16102,1
46,1,3,6,3,1,3,3,3,5,1,2,0,2,1,1,3,25453,0
38,1,1,15,2,1,3,3,0,3,2,2,0,2,1,1,1,17288,0
37.62226512,1,1,18,3,1,3,3,0,3,0,1,1,4,1,2,1,22347,0
34,1,1,33,3,1,3,3,0,4,2,3,0,3,1,0,1,17311,0
41,1,3,26,3,1,3,3,0,4,2,2,1,4,0,2,1,18140,1
37.62226512,1,1,6,3,2,2,4,0,3,0,3,0,3,0,0,1,18690,0
53,1,1,15.49083459,3,1,2,2,1,5,1,2,0,2,1,1,2,22347,0
33,1,1,20,3,1,3,3,0,4,0,2,0,5,0,0,1,17756,0
40,1,1,10,3,1,2,3,2,3,0,2,0,5,0,1,4,34033,0
55,1,1,20,3,2,3,2,2,4,2,1,0,2,0,2,4,33722,0
34,0,1,8,2,2,2,4,1,3,0,2,0,4,0,0,2,24547,0
51,1,1,9,3,1,3,3,4,4,2,4,0,5,0,1,0,28734,0
52,1,1,6,2,2,3,4,2,3,0,1,0,2,1,1.187266694,4,34999,0
27,1,1,15,3,1,2,3,0,4,2,2,0,3,1,0,1,17279,0
35,1,1,29,2,2,2,4,1,3,0,4,1,4,1,1,2,20916,1
43,0,1,13,3,2,2,2,0,3,1,5,0,4,0,1,1,17089,0
45,0,1,8,3,2,3,4,4,3,0,1,0,4,1,0,0,31792,0
37.62226512,1,1,27,2,2,3,2,0,5,0,2,1,3,0,2,1,18564,0
35,0,1,15.49083459,3,1,2,3,1,4,2,6,0,2,1,0,2,22347,0
42,0,1,27,3,1,2,3,1,3,1,3,0,2,0,0,2,20265,0
38,1,1,8,2,2,2,3,1,3,0,1,0,2,0,1,2,21553,0
38,1,1,35,1,2,2,3,1,3,0,4,0,2,0,1,2,21261,0
27,0,1,15.49083459,1,2,2,4,1,5,0,6,0,3,0,1,2,22347,0
49,0,1,24,2,2,3,3,1,3,1,2,1,2,0,1,2,21804,0
37.62226512,0,1,16,3,2,2,3,0,3,1,2,1,3,1,0,1,22347,0
40,1,1,25,3,2,2,3,1,3,0,1,1,2,1,1,2,17741,0
38,1,1,35,3,2,3,3,1,5,0,1,1,3,0,1,2,21673,1
29,1,3,33,3,1,2,3,3,3,0,2,0,3,1,1,3,22639,1
22,1,1,11,2,2,2,2,0,4,1,2,1,4,0,0,1,17328,0
36,0,1,24,3,1,3,3,0,3,2,2,0,3,1,2,1,17153,0
40,0,1,15.49083459,2,2,3,4,1,3,0,1,0,5,1,0,2,19876,0
46,1,1,6,3,2,3,3,3,5,1,1,0,2,0,0,3,24396,0
32,1,3,10,3,2,2,5,3,3,0,2,0,2,1,1,3,25400,1
30,0,1,6,2,2,2,4,3,3,3,2,0,5,1,1,3,23474,0
27,0,3,26,2,0,2,3,1,3,3,2,0,2,1,1,2,24981,0
51,1,1,14,2,2,2,4,3,4,0,6,0,3,1,1,3,27490,0
30,1,1,9,1,1,2,3,0,5,2,6,1,4,1,1,1,17657,1
41,1,3,12,2,0,3,3,3,3,2,4,1,2,0,1,3,28591,0
30,0,3,32,3,1,2,4,1,5,3,6,0,2,0,1,2,21696,1
29,1,1,6,1,2,2,3,0,3,2,1,0,2,0,0,1,17058,1
45,0,3,12,3,0,2,4,3,3,3,7,0,4,1,0,3,23865,0
54,1,3,9,3,1,2,3,1,5,0,3,0,4,1,1,2,20940,0
36,1,1,11,2,2,3,3,1,4,2,1,0,2,0,2,2,20914,0
33,1,1,10,3,1,2,4,0,4,0,7,0,4,0,0,1,17622,0
37,0,1,17,2,2,2,3,3,3,1,2,1,3,0,1,3,27185,0
38,1,3,9,2,2,3,3,3,3,1,1,0,2,1,1,3,25609,0
59,1,1,9,2,2,3,4,0,3,0,4,0,3,0,1,1,17177,0
37,0,3,10,3,2,2,3,0,3,1,5,0,4,1,0,1,17177,0
29,0,3,6,3,1,2,3,3,3,0,2,0,3,1,0,3,22918,0
35,0,3,6,3,0,3,3,3,3,3,2,0,5,1,0,3,23789,0
29,1,1,24,3,2,2,4,0,3,2,2,1,3,0,1,1,17389,1
52,1,1,8,2,1,2,4,0,3,2,1,0,3,0,0,1,18212,0
42,1,1,10,1,2,2,3,2,3,0,2,0,2,0,1,4,34232,0
59,1,2,12,3,2,2,3,0,3,0,1,0,4,1,0,1,17267,0
50,1,3,6,3,1,3,3,2,3,1,4,0,2,1,1,4,34517,0
33,1,1,20,3,2,2,3,0,3,0,6,1,2,0,1,1,17436,1
43,1,3,22,3,1,3,3,4,3,0,6,1,3,0,1,0,31064,0
33,1,1,8,2,1,2,3,0,5,0,1,0,3,1,0,1,17707,1
52,0,3,8,2,2,3,4,2,3,2,2,1,2,1,2,4,34068,0
37.62226512,1,3,10,2,1,2,3,0,4,0,3,0,3,1,0,1,22347,0
37.62226512,1,1,6,2,2,3,4,0,3,2,1,1,5,1,0,1,22347,1
39,1,1,6,3,1,3,3,0,3,1,1,0,3,0,1,1,17232,0
32,0,3,15.49083459,3,2,3,3,1,3,0,1,0,4,1,2,2,22347,0
41,1,1,25,2,2,2,3,1,5,1,3,0,2,1,0,2,18072,0
40,1,1,30,1,2,3,3,1,3,1,2,0,3,1,1,2,18319,0
45,1,1,6,2,2,3,2,2,3,0,1,0,4,1,2,4,34202,0
31,0,1,9,3,2,3,3,3,3,1,1,0,4,1,2,3,28675,0
33,1,1,11,2,1,3,4,0,3,0,2,0,2,0,2,1,17911,0
34,1,1,8,2,2,2,4,1,5,0,7,0,4,0,1,2,20957,0
37.62226512,1,1,6,3,1,2,4,0,5,0,3,0,4,1,1,1,22347,0
45,0,1,13,2,2,3,2,1,3,0,5,0,2,0,2,2,21434,0
37,0,1,16,3,2,3,3,3,3,1,7,0,3,1,2,3,25048,1
39,0,1,8,1,0,3,3,3,3,3,1,0,2,1,1,3,25938,0
29,1,1,21,2,2,2,3,0,3,2,2,0,3,0,0,1,17340,0
42,1,1,23,2,1,2,2,1,5,3,4,1,2,0,0,2,21545,0
29,1,3,26,3,2,2,3,1,3,1,3,0,2,1,1,2,21931,0
25,1,1,15.49083459,2,1,3,3,1,3,0,1,0,3,1,1,2,19898,0
42,1,1,8,3,1,2,4,0,5,1,1,1,4,1,0,1,17593,0
40,1,1,8,3,2,2,3,2,3,1,1,0,5,0,0,4,34436,0
51,1,1,6,2,2,3,3,0,3,0,2,0,4,1,0,1,17723,0
37.62226512,0,1,35,3,2,3,4,0,4,2,1,0,3,1,2,1,18479,1
32,0,1,13,2,2,3,2,0,4,0,2,0,2,0,1,1,17794,0
38,0,3,8,2,2,2,4,1,3,0,4,0,5,1,1,2,20249,0
32,1,1,8,1,2,2,4,1,5,2,5,0,4,0,1,2,17176,0
46,1,3,8,1,1,3,5,4,4,0,4,1,5,1,2,0,31872,0
37.62226512,1,1,8,2,2,3,3,0,3,2,3,0,4,1,1,1,18485,1
29,1,3,8,3,2,3,4,1,4,0,3,0,4,0,1,2,21644,0
31,1,1,29,3,2,3,4,1,3,0,1,0,3,1,1,2,20582,0
37.62226512,0,1,11,2,2,2,2,1,5,1,2,0,5,1,1,2,22347,0
45,1,1,26,3,2,3,3,4,3,0,1,1,3,0,0,0,28496,0
36,1,1,12,2,2,2,3,0,3,0,1,0,5,1,1,1,18210,0
55,1,1,6,3,2,2,3,2,5,2,1,1,2,1,0,4,34045,0
47,0,1,35,2,2,2,3,3,4,0,2,1,3,1,0,3,26849,1
28,1,1,15,3,2,3,3,0,3,0,2,0,2,1,1,1,17070,0
37,1,3,12,3,2,3,3,1,3,0,5,0,3,0,0,2,21502,0
21,1,1,9,3,2,3,4,0,3,2,2,0,5,1,1,1,18230,0
37,0,1,6,3,1,1,3,3,3,1,3,1,3,0,0,3,28603,0
35,1,1,28,2,1,3,2,3,4,1,1,0,5,1,1,3,26996,0
38,1,3,13,3,1,2,2,1,5,1,2,1,3,0,0,2,20605,0
26,0,1,6,2,1,2,3,1,4,1,2,0,5,0,1,2,21397,0
50,1,1,10,2,2,3,3,2,4,1,4,0,5,1,0,4,34144,0
53,1,1,9,3,2,2,3,4,3,0,4,1,5,0,0,0,32584,0
42,1,3,6,2,2,2,3,1,3,0,2,0,3,1,0,2,19907,0
29,0,3,15.49083459,2,2,2,3,1,3,2,2,0,2,0,0,2,19554,0
55,1,1,26,1,2,2,3,1,3,0,4,1,2,1,1,2,20415,0
26,0,1,15.49083459,3,2,2,3,1,5,0,2,1,3,1,1,2,19741,0
37,1,1,6,2,1,2,3,0,3,2,2,0,2,1,1,1,17115,0
44,0,1,30,2,2,2,3,0,3,1,4,1,5,0,1,1,18161,1
38,1,1,29,2,2,2,3,1,3,1,1,0,3,0,0,2,20745,0
26,1,1,22,3,2,2,3,0,4,1,3,1,2,1,1,1,17373,1
28,1,1,14,2,1,3,3,0,3,2,2,0,4,0,1,1,18310,0
49,0,1,16,2,1,2,3,2,5,2,1,1,3,0,0,4,33665,0
36,1,1,15.49083459,1,2,1,3,1,4,2,5,0,2,1,0,2,19485,0
31,0,3,11,3,1,2,3,0,4,1,2,0,3,0,1,1,17789,0
26,1,3,10,3,2,2,4,1,3,2,2,1,2,1,1,2,20828,1
37,0,1,15,3,2,2,3,0,3,0,2,1,2,0,0,1,17326,0
42,0,3,32,3,1,3,3,4,4,0,6,0,3,1,2,0,28525,0
18,1,1,9,2,2,2,3,0,3,2,2,0,4,0,0,1,16420,1
35,1,3,22,3,2,3,3,3,4,0,1,0,2,1,2,3,23020,0
37.62226512,0,1,24,2,2,2,2,0,3,0,5,0,5,0,0,1,18688,0
51,1,1,8,3,2,2,5,1,4,1,6,0,2,0,0,2,20482,0
41,1,3,8,2,2,2,3,4,4,2,2,0,3,1,0,0,31015,0
18,1,3,16,3,1,3,4,0,3,2,2,0,2,1,2,1,16200,0
28,1,1,22,3,2,3,2,1,5,2,1,0,5,0,2,2,20661,0
31,1,3,13,1,2,3,2,1,3,0,5,0,2,1,0,2,21929,0
39,1,1,6,3,2,2,2,3,3,1,1,0,3,1,0,3,24613,0
36,0,1,30,2,1,2,3,1,4,0,1,0,3,0,0,2,20674,0
32,1,3,13,2,2,3,4,1,3,0,2,0,3,1,2,2,20484,0
38,1,1,31,2,1,2,4,3,4,0,4,0,3,1,0,3,27061,0
58,0,1,6,2,2,2,5,1,3,1,3,1,2,1,1,2,20660,0
31,1,1,15.49083459,1,2,2,3,0,3,0,1,1,4,0,1,1,19821,0
31,1,2,8,2,2,3,4,1,5,0,4,0,3,0,1,2,21410,0
45,0,1,13,2,2,3,3,3,5,1,2,0,2,1,2,3,20210,0
31,1,1,8,2,2,2,3,0,3,1,1,1,4,1,1,1,17695,0
33,0,1,11,2,1,3,3,3,4,0,7,0,3,1,2,3,26878,0
39,1,1,16,3,2,2,3,4,5,0,2,1,3,1,1,0,32068,0
43,0,1,16,2,1,2,3,0,3,2,1,0,5,0,1,1,17455,0
49,1,1,6,1,1,2,4,4,3,2,1,1,3,1,0,0,28964,0
52,1,1,14,3,2,2,3.708445179,1,4,0,3,0,2,1,1,2,19941,1
27,1,1,11,2,1,2,3,0,4,2,2,1,3,0,1,1,17478,0
32,1,3,14,1,1,3,4,1,4,0,2,1,2,1,0,2,20228,0
27,1,3,15.49083459,2,2,3,3,1,3,2,2,1,4,1,2,2,22347,0
31,1,3,13,3,2,3,3,1,3,1,5,0,2,0,0,2,22547,0
32,1,1,8,3,1,3,3.708445179,1,3,2,1,0,3,1,2,2,20055,0
37.62226512,1,1,8,3,2,2,5,0,3,0,6,1,3,1,0,1,18464,1
30,1,1,34,3,1,3,3,1,3,0,2,0,3,0,2,2,20775,0
31,0,1,13,2,1,2,4,3,3,0,2,0,2,1,1,3,23943,0
39,0,1,5,3,2,2,4,2,3,0,2,0,5,1,1,4,34272,0
39,1,3,9,3,1,2,3,1,3,0,5,1,4,1,1,2,20238,1
33,0,3,15.49083459,3,2,2,4,1,3,2,4,0,3,1,1,2,19682,0
47,1,1,11,2,2,2,3,2,3,0,5,0,2,0,1,4,33300,0
43,0,1,16,2,1,2,4,1,3,1,2,0,3,0,0,2,20257,0
27,0,3,6,3,2,3,3,1,4,0,1,1,2,0,2,2,21349,0
54,0,1,15.49083459,2,1,2,3,1,3,2,4,0,4,1,0,2,19869,0
43,1,1,13,2,1,2,3,3,5,0,1,0,5,1,0,3,24985,0
37.62226512,1,1,14,2,2,3,3,1,3,0,1,0,3,1,0,2,18697,0
40,1,3,6,3,2,2,5,1,3,0,3,1,3,1,0,2,22457,0
29,1,1,14,2,2,3,5,0,5,0,2,1,3,1,1,1,17119,1
37.62226512,1,1,15,2,2,1,4,0,3,2,1,0,2,1,0,1,22347,0
30,1,3,11,3,1,1,4,1,3,1,2,0,2,0,0,2,21118,0
27,1,3,14,3,1,2,3,1,4,0,2,0,2,0,0,2,21214,0
37,1,1,11,3,2,3,3,1,3,1,1,0,3,0,0,2,21347,0
38,1,1,21,2,2,3,4,3,3,1,1,1,5,1,1,3,26510,0
31,1,1,13,3,1,2,3,3,3,3,2,1,4,1,1,3,22143,0
29,1,3,16,3,1,2,4,1,4,1,2,1,5,0,1,2,23268,0
35,1,1,11,1,2,3,3,3,4,3,1,0,3,0,0,3,23095,0
