Age,CityTier,DurationOfPitch,Occupation,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken
27,3,14,2,3,3,3,3,0,2,3,23726,0
,1,6,3,3,1,3,2,0,3,2,,0
41,1,18,1,3,2,3,0,0,4,4,34545,1
34,3,,3,3,1,3,2,0,5,2,19568,0
37,1,25,2,3,0,4,0,0,4,1,18022,0
46,3,11,3,3,1,3,2,1,5,2,20772,0
35,1,14,2,2,0,3,0,0,5,1,17269,0
48,1,6,2,4,3,3,2,1,5,3,20381,1
,1,11,1,3,0,3,2,1,2,1,18441,1
44,3,6,3,3,1,5,1,1,2,2,20454,0
35,1,17,3,4,3,5,0,1,5,3,24884,0
,3,29,3,4,1,3,0,1,2,2,,0
33,1,6,2,3,3,3,3,1,2,3,28458,0
35,3,24,2,3,3,5,0,0,4,3,24069,0
,1,29,3,3,0,5,0,1,4,1,,0
31,1,13,2,3,1,3,1,0,3,2,20915,0
37,1,6,2,4,1,3,1,0,5,2,20993,0
32,1,6,3,3,1,3,0,1,4,2,21162,0
38,1,35,2,3,1,3,2,0,3,2,17406,0
50,1,13,3,4,2,3,1,1,4,4,33740,0
59,3,31,2,3,3,5,3,0,3,3,22637,0
36,1,14,1,3,3,3,1,0,4,3,25096,0
55,1,14,3,3,4,3,1,1,3,0,29756,0
36,1,17,2,4,1,4,3,0,4,2,21499,0
45,1,13,2,3,3,5,1,0,3,3,24724,0
35,1,6,3,3,0,5,0,0,2,1,17194,0
,1,15,3,4,0,3,0,1,2,1,18388,1
59,3,6,2,4,1,3,2,0,5,2,20473,0
29,1,8,2,3,0,4,0,0,4,1,17703,0
31,1,6,3,3,0,4,2,0,3,1,17501,0
32,1,6,2,3,1,4,0,0,3,2,21220,0
36,1,12,2,2,1,3,0,0,2,2,18038,0
31,1,,2,3,1,3,2,0,5,2,,0
35,3,,3,4,1,5,2,0,2,2,,0
45,1,12,2,3,3,5,0,1,3,3,28245,0
37,1,13,3,3,3,3,2,0,2,3,28664,0
46,2,11,3,,1,4,1,1,5,2,20021,0
30,1,6,2,4,1,3,0,1,2,2,20126,0
35,1,6,3,4,0,3,2,0,4,1,17859,0
55,3,6,2,3,3,3,0,0,2,3,25239,0
38,1,12,3,5,1,3,1,1,2,2,20329,0
34,1,,3,3,1,4,0,0,5,2,,0
56,1,13,2,5,3,3,3,0,2,3,22260,0
23,3,8,1,3,0,5,1,0,3,1,17322,0
51,1,15,2,3,0,3,0,0,3,1,17075,0
,1,8,2,4,1,3,0,0,4,2,,0
46,3,15,3,4,3,3,3,0,5,3,24619,1
40,1,6,2,4,4,4,0,0,2,0,28503,0
51,3,27,3,3,1,3,2,1,5,2,20441,0
30,3,10,3,4,1,4,1,1,3,2,20209,0
46,1,6,3,4,3,5,0,1,2,3,25673,0
32,3,12,3,,1,3,2,0,5,2,20010,0
54,1,8,1,3,3,3,0,0,4,3,28549,0
24,3,9,2,,1,3,0,0,4,2,19999,0
,3,10,3,3,1,3,0,0,2,2,,0
58,3,16,3,3,4,3,2,0,3,0,28872,0
44,1,29,3,3,1,4,0,0,3,2,17042,0
37,2,12,2,3,0,5,1,1,2,1,17073,1
32,1,6,2,3,0,5,2,0,2,1,17956,0
20,1,12,2,4,0,3,2,1,2,1,17926,1
34,1,,2,3,1,3,2,0,3,2,19809,0
37,1,8,2,4,1,3,1,0,2,2,20163,0
59,2,8,2,4,2,3,0,0,2,4,33844,0
50,1,6,2,3,2,4,0,1,2,4,33172,0
25,3,11,3,4,1,3,2,1,3,2,20744,1
25,1,13,3,4,0,3,0,0,2,1,17889,0
22,1,21,3,3,0,3,2,0,2,1,17871,0
51,1,6,3,4,3,5,3,0,2,3,22484,0
34,1,13,2,5,1,3,2,1,5,2,21074,1
54,2,32,2,2,4,3,2,1,3,0,32328,0
24,1,24,2,3,0,3,0,0,4,1,17774,0
34,1,,2,4,1,4,1,0,3,2,19505,0
37,3,9,2,3,3,3,3,0,3,3,22428,0
34,1,11,3,4,3,5,3,0,2,3,26631,0
36,3,17,1,3,3,3,0,0,5,3,24738,0
36,1,9,2,3,0,3,1,0,2,1,17835,0
43,3,32,2,3,4,3,0,1,2,0,31959,0
30,1,29,2,5,0,3,1,0,3,1,17613,0
33,3,28,3,3,1,4,0,0,2,2,21146,0
56,1,20,2,,0,4,0,1,5,1,19963,1
51,1,12,2,3,2,3,2,0,5,4,34537,0
31,3,12,2,5,1,3,0,1,3,2,21172,1
26,1,12,2,4,0,4,0,0,3,1,17368,0
58,1,29,3,3,3,3,0,0,3,3,25312,1
19,3,28,3,3,0,3,2,1,2,1,16675,1
22,1,8,1,3,0,3,0,0,5,1,17523,0
49,1,26,3,3,1,5,0,0,2,2,21567,0
43,1,,3,2,0,3,2,0,3,1,19739,0
50,3,18,3,3,3,3,3,0,5,3,24208,0
31,3,,2,5,1,3,0,1,3,2,19559,1
41,3,15,2,3,3,3,1,1,2,3,23189,0
26,2,31,2,3,0,3,0,0,4,1,17942,0
36,1,12,3,,1,4,1,0,4,2,19941,0
51,1,14,2,5,3,3,3,0,2,3,25650,1
39,3,10,2,4,1,3,0,0,5,2,20902,0
25,3,34,2,4,1,3,0,0,4,2,23639,0
30,2,15,2,3,1,3,0,1,3,2,21347,0
,1,15,3,3,0,5,2,0,4,1,,1
,1,35,3,3,0,3,2,0,2,1,18452,0
38,1,9,1,3,1,3,2,1,5,2,1000,0
30,1,24,2,3,0,3,2,0,2,1,17632,0
32,3,,3,5,1,3,1,0,2,2,19668,0
30,1,11,1,3,0,5,1,0,5,1,18204,0
30,1,8,3,4,0,3,2,0,4,1,17720,0
41,1,16,2,4,4,5,1,0,2,0,32181,0
41,1,15,2,3,0,5,0,0,2,1,17238,0
19,1,9,3,3,0,4,2,0,3,1,16483,0
40,1,32,3,3,1,4,1,0,2,2,20605,0
35,3,6,3,3,3,4,0,0,4,3,22295,0
53,3,12,3,3,1,3,0,1,5,2,17306,0
45,1,15,2,3,1,4,1,0,4,2,17348,0
32,3,14,3,3,3,3,3,0,4,3,23998,0
29,1,,1,3,1,3,0,0,3,2,,0
51,1,13,3,4,1,3,0,0,3,2,21132,0
58,1,15,3,4,0,4,0,1,2,1,18346,0
40,3,10,3,4,3,3,0,0,2,3,25855,0
34,3,8,3,3,0,3,0,0,5,1,17231,0
22,1,25,3,3,0,3,0,0,2,1,17323,0
27,1,15,3,3,0,4,1,0,3,1,17024,0
28,1,27,3,3,0,3,0,0,2,1,17713,0
57,1,30,2,2,3,3,1,1,4,3,24439,0
27,1,9,3,4,0,3,1,1,2,1,17566,0
50,1,17,2,3,2,4,2,0,5,4,34926,0
41,1,20,2,3,0,3,1,0,4,1,17451,0
30,3,11,2,3,3,3,0,0,4,3,24419,0
38,3,6,2,4,1,3,3,0,2,2,23686,0
32,1,12,2,3,0,3,2,0,2,1,18038,0
27,1,23,1,3,0,4,0,1,4,1,18058,0
19,3,6,1,5,0,5,2,0,3,1,17325,1
36,1,9,3,3,0,4,2,0,4,1,17088,0
30,1,15,3,3,1,5,1,0,2,2,18072,0
45,3,10,2,,1,5,1,1,4,2,20006,0
56,1,,2,3,0,5,1,1,4,1,,0
33,1,8,2,3,0,3,2,0,3,1,17500,0
19,1,8,2,4,0,3,2,0,5,1,16102,1
46,3,6,3,3,3,5,1,0,2,3,25453,0
38,1,15,2,3,0,3,2,0,2,1,17288,0
,1,18,3,3,0,3,0,1,4,1,,0
34,1,33,3,3,0,4,2,0,3,1,17311,0
41,3,26,3,3,0,4,2,1,4,1,18140,1
,1,6,3,4,0,3,0,0,3,1,18690,0
53,1,,3,2,1,5,1,0,2,2,,0
33,1,20,3,3,0,4,0,0,5,1,17756,0
40,1,10,3,3,2,3,0,0,5,4,34033,0
55,1,20,3,2,2,4,2,0,2,4,33722,0
34,1,8,2,4,1,3,0,0,4,2,24547,0
51,1,9,3,3,4,4,2,0,5,0,28734,0
52,1,6,2,4,2,3,0,0,2,4,34999,0
27,1,15,3,3,0,4,2,0,3,1,17279,0
35,1,29,2,4,1,3,0,1,4,2,20916,1
43,1,13,3,2,0,3,1,0,4,1,17089,0
45,1,8,3,4,4,3,0,0,4,0,31792,0
,1,27,2,2,0,5,0,1,3,1,18564,0
35,1,,3,3,1,4,2,0,2,2,,0
42,1,27,3,3,1,3,1,0,2,2,20265,0
38,1,8,2,3,1,3,0,0,2,2,21553,0
38,1,35,1,3,1,3,0,0,2,2,21261,0
27,1,,1,4,1,5,0,0,3,2,,0
49,1,24,2,3,1,3,1,1,2,2,21804,0
,1,16,3,3,0,3,1,1,3,1,,0
40,1,25,3,3,1,3,0,1,2,2,17741,0
38,1,35,3,3,1,5,0,1,3,2,21673,1
29,3,33,3,3,3,3,0,0,3,3,22639,1
22,1,11,2,2,0,4,1,1,4,1,17328,0
36,1,24,3,3,0,3,2,0,3,1,17153,0
40,1,,2,4,1,3,0,0,5,2,19876,0
46,1,6,3,3,3,5,1,0,2,3,24396,0
32,3,10,3,5,3,3,0,0,2,3,25400,1
30,1,6,2,4,3,3,3,0,5,3,23474,0
27,3,26,2,3,1,3,3,0,2,2,24981,0
51,1,14,2,4,3,4,0,0,3,3,27490,0
30,1,9,1,3,0,5,2,1,4,1,17657,1
41,3,12,2,3,3,3,2,1,2,3,28591,0
30,3,32,3,4,1,5,3,0,2,2,21696,1
29,1,6,1,3,0,3,2,0,2,1,17058,1
45,3,12,3,4,3,3,3,0,4,3,23865,0
54,3,9,3,3,1,5,0,0,4,2,20940,0
36,1,11,2,3,1,4,2,0,2,2,20914,0
33,1,10,3,4,0,4,0,0,4,1,17622,0
37,1,17,2,3,3,3,1,1,3,3,27185,0
38,3,9,2,3,3,3,1,0,2,3,25609,0
31,1,,2,5,0,3,0,0,3,1,,0
59,1,9,3,4,0,3,1,0,3,1,17177,0
37,3,10,3,3,3,3,0,0,4,3,17177,0
29,3,6,3,3,3,3,3,0,3,3,22918,0
35,3,6,3,3,0,3,2,0,5,1,23789,0
29,1,24,2,4,0,3,2,1,3,1,17389,1
52,1,8,1,4,2,3,0,0,3,4,18212,0
42,1,10,3,3,0,3,0,0,2,1,34232,0
59,2,12,3,3,2,3,1,0,4,4,17267,0
50,3,6,3,3,0,3,0,0,2,1,34517,0
33,1,20,3,3,4,3,0,1,2,0,17436,1
43,3,22,2,3,0,3,0,1,3,1,31064,0
33,1,8,2,3,2,5,2,0,3,4,17707,1
52,3,8,2,4,0,3,0,1,2,1,34068,0
,3,10,2,3,0,4,2,0,3,1,,0
,1,6,3,4,0,3,1,1,5,1,,1
39,1,6,3,3,1,3,0,0,3,2,17232,0
32,3,,2,3,1,3,1,0,4,2,,0
41,1,25,1,3,1,5,1,0,2,2,18072,0
40,1,30,2,3,2,3,0,0,3,4,18319,0
45,1,6,3,2,3,3,1,0,4,3,34202,0
31,1,9,2,3,0,3,0,0,4,1,28675,0
33,1,11,2,4,1,3,0,0,2,2,17911,0
34,1,8,3,4,0,5,0,0,4,1,20957,0
,1,6,2,4,1,5,0,0,4,2,,0
45,1,13,3,2,3,3,1,0,2,3,21434,0
37,1,16,1,3,3,3,3,0,3,3,25048,1
39,1,8,2,3,0,3,2,0,2,1,25938,0
29,1,21,2,3,1,3,3,0,3,2,17340,0
42,1,23,3,2,1,5,1,1,2,2,21545,0
29,3,26,2,3,1,3,0,0,2,2,21931,0
25,1,,3,3,0,3,1,0,3,1,19898,0
42,1,8,3,4,2,5,1,1,4,4,17593,0
40,1,8,2,3,0,3,0,0,5,1,34436,0
51,1,6,3,3,0,3,2,0,4,1,17723,0
,1,35,2,4,0,4,0,0,3,1,18479,1
32,1,13,2,2,1,4,0,0,2,2,17794,0
38,3,8,1,4,1,3,2,0,5,2,20249,0
32,1,8,1,4,4,5,0,0,4,0,17176,0
46,3,8,2,5,0,4,2,1,5,1,31872,0
,1,8,3,3,1,3,0,0,4,2,18485,1
29,3,8,3,4,1,4,0,0,4,2,21644,0
31,1,29,2,4,1,3,1,0,3,2,20582,0
,1,11,3,2,4,5,0,0,5,0,,0
45,1,26,2,3,0,3,0,1,3,1,28496,0
36,1,12,3,3,2,3,2,0,5,4,18210,0
55,1,6,2,3,3,5,0,1,2,3,34045,0
47,1,35,3,3,0,4,0,1,3,1,26849,1
28,1,15,3,3,1,3,0,0,2,2,17070,0
37,3,12,3,3,0,3,2,0,3,1,21502,0
21,1,9,3,4,3,3,1,0,5,3,18230,0
37,1,6,2,3,3,3,1,1,3,3,28603,0
35,1,28,3,2,1,4,1,0,5,2,26996,0
38,3,13,2,2,1,5,1,1,3,2,20605,0
26,1,6,2,3,2,4,1,0,5,4,21397,0
50,1,10,3,3,4,4,0,0,5,0,34144,0
53,1,9,2,3,1,3,0,1,5,2,32584,0
42,3,6,2,3,1,3,2,0,3,2,19907,0
29,3,,1,3,1,3,0,0,2,2,19554,0
55,1,26,3,3,1,3,0,1,2,2,20415,0
26,1,,2,3,0,5,2,1,3,1,19741,0
37,1,6,2,3,0,3,1,0,2,1,17115,0
44,1,30,2,3,1,3,1,1,5,2,18161,1
38,1,29,3,3,0,3,1,0,3,1,20745,0
26,1,22,2,3,0,4,2,1,2,1,17373,1
28,1,14,2,3,2,3,2,0,4,4,18310,0
49,1,16,1,3,1,5,2,1,3,2,33665,0
36,1,,3,3,0,4,1,0,2,1,19485,0
31,3,11,3,3,1,4,2,0,3,2,17789,0
26,3,10,3,4,0,3,0,1,2,1,20828,1
37,1,15,3,3,4,3,0,1,2,0,17326,0
42,3,32,2,3,0,4,2,0,3,1,28525,0
18,1,9,3,3,3,3,0,0,4,3,16420,1
35,3,22,2,3,0,4,0,0,2,1,23020,0
,1,24,3,2,1,3,1,0,5,2,18688,0
51,1,8,2,5,4,4,2,0,2,0,20482,0
41,3,8,3,3,0,4,2,0,3,1,31015,0
18,3,16,3,4,1,3,2,0,2,2,16200,0
28,1,22,1,2,1,5,0,0,5,2,20661,0
31,3,13,3,2,3,3,1,0,2,3,21929,0
39,1,6,2,2,1,3,0,0,3,2,24613,0
36,1,30,2,3,1,4,0,0,3,2,20674,0
32,3,13,2,4,3,3,0,0,3,3,20484,0
38,1,31,2,4,1,4,1,0,3,2,27061,0
58,1,6,1,5,0,3,0,1,2,1,20660,0
31,1,,2,3,1,3,0,1,4,2,19821,0
31,2,8,2,4,3,5,1,0,3,3,21410,0
45,1,13,2,3,0,5,1,0,2,1,20210,0
31,1,8,2,3,3,3,0,1,4,3,17695,0
33,1,11,3,3,4,4,0,0,3,0,26878,0
39,1,16,2,3,0,5,2,1,3,1,32068,0
43,1,16,1,3,4,3,2,0,5,0,17455,0
49,1,6,3,4,1,3,0,1,3,2,28964,0
52,1,14,2,,0,4,2,0,2,1,19941,1
27,1,11,1,3,1,4,0,1,3,2,17478,0
32,3,14,2,4,1,4,2,1,2,2,20228,0
27,3,,3,3,1,3,1,1,4,2,,0
31,3,13,3,3,1,3,2,0,2,2,22547,0
32,1,8,3,,0,3,0,0,3,1,20055,0
,1,8,3,5,1,3,0,1,3,2,18464,1
30,1,34,2,3,3,3,0,0,3,3,20775,0
31,1,13,3,4,2,3,0,0,2,4,23943,0
39,1,5,3,4,1,3,0,0,5,2,34272,0
39,3,9,3,3,1,3,2,1,4,2,20238,1
33,3,,2,4,2,3,0,0,3,4,19682,0
47,1,11,2,3,1,3,1,0,2,2,33300,0
43,1,16,3,4,1,3,0,0,3,2,20257,0
27,3,6,2,3,1,4,2,1,2,2,21349,0
54,1,,2,3,3,3,0,0,4,3,19869,0
43,1,13,2,3,1,5,0,0,5,2,24985,0
,1,14,3,3,1,3,0,0,3,2,18697,0
40,3,6,2,5,0,3,0,1,3,1,22457,0
29,1,14,2,5,0,5,2,1,3,1,17119,1
,1,15,3,4,1,3,1,0,2,2,,0
30,3,11,3,4,1,3,0,0,2,2,21118,0
27,3,14,3,3,1,4,1,0,2,2,21214,0
37,1,11,2,3,3,3,1,0,3,3,21347,0
38,1,21,3,4,3,3,3,1,5,3,26510,0
31,1,13,3,3,1,3,1,1,4,2,22143,0
29,3,16,1,4,3,4,3,1,5,3,23268,0
35,1,11,2,3,0,4,1,0,3,1,23095,0
23,1,32,3,3,1,3,2,0,2,2,17904,0
41,1,12,3,4,1,4,2,1,3,2,21032,0
47,3,10,2,3,4,3,2,0,4,0,17976,0
42,1,29,2,3,1,3,0,0,3,2,30992,0
29,3,,1,3,0,3,1,0,2,1,19649,0
42,2,8,3,3,0,3,0,1,4,1,17696,0
32,1,8,3,3,3,4,0,0,4,3,17370,0
48,3,35,3,3,1,3,1,0,4,2,27504,0
37,1,12,1,2,1,5,0,1,3,2,20974,0
30,3,,2,3,1,3,0,1,3,2,19736,0
26,3,6,2,3,1,3,3,0,5,2,20296,0
42,1,8,1,4,0,3,2,0,2,1,21781,0
21,3,6,3,4,1,4,3,1,5,2,17174,1
36,3,6,3,3,3,3,0,0,2,3,21653,0
36,3,9,3,4,1,3,0,0,2,2,24699,0
57,1,6,2,3,0,3,0,0,3,1,21755,0
40,1,16,3,2,0,3,2,1,3,1,17213,0
21,3,15,3,3,0,3,2,0,4,1,17610,0
33,3,11,3,3,0,3,0,1,2,1,17851,1
,1,16,3,3,1,5,0,0,2,2,18452,0
46,1,13,3,3,1,3,3,0,5,2,20258,0
41,3,10,1,3,3,4,3,0,3,3,24355,1
50,1,16,3,4,1,3,0,0,5,2,25496,0
40,3,28,2,4,0,3,2,1,3,1,21380,1
31,1,15,2,4,0,4,2,1,3,1,17657,0
21,3,18,2,2,0,4,2,0,5,1,17716,1
29,1,29,2,3,1,3,3,0,3,2,17201,0
35,1,15,3,4,0,4,1,0,2,1,21540,0
,1,6,2,3,1,4,2,0,3,2,,0
28,3,15,2,3,3,3,3,0,3,3,20253,0
49,1,13,2,4,1,3,0,0,2,2,25965,0
51,3,20,2,,0,3,0,0,3,1,19936,0
36,1,8,3,3,1,3,2,0,5,2,17543,0
34,3,25,2,2,4,3,2,1,2,0,20304,1
55,1,8,3,3,1,3,1,1,5,2,31659,0
24,3,,1,3,0,3,0,1,2,1,,0
30,3,8,1,3,0,4,2,0,3,1,17476,0
26,1,9,3,3,0,5,0,0,3,1,18102,1
22,1,17,3,3,3,4,0,0,2,3,17244,0
36,3,8,1,4,0,3,2,0,2,1,22596,0
30,1,10,2,3,0,3,1,1,4,1,17285,1
37,1,20,3,3,1,5,1,0,4,2,18034,0
40,3,8,2,3,0,4,1,0,2,1,20715,0
42,1,6,2,3,1,5,2,0,3,2,17576,0
,1,16,2,3,4,4,1,1,5,0,,0
43,1,18,3,4,1,4,0,0,3,2,29336,0
,1,8,3,4,2,3,0,0,5,4,18448,0
54,1,11,3,3,1,5,0,0,4,2,34406,0
34,3,10,3,3,1,3,0,0,2,2,21538,0
31,1,,3,3,0,5,0,0,2,1,,0
43,1,27,2,3,1,3,1,0,4,2,17258,0
43,1,,2,3,1,3,2,1,2,2,19522,0
25,3,,3,4,1,3,0,1,2,2,19487,0
37,1,,2,3,0,3,0,1,3,1,,0
31,1,6,2,4,2,5,1,0,4,4,17218,0
39,1,6,2,3,4,3,0,1,3,0,34197,0
56,3,12,1,2,1,5,3,0,3,2,28212,0
30,3,18,3,3,3,3,0,0,2,3,21577,0
41,3,6,3,2,1,5,1,0,3,2,23392,0
28,1,,3,3,0,5,0,0,2,1,19558,0
,1,9,3,3,3,5,0,0,5,3,,1
52,1,9,2,4,0,3,0,1,2,1,22969,0
45,1,16,2,3,4,3,0,0,5,0,17654,0
52,1,10,2,3,1,3,1,0,5,2,31555,0
42,1,,2,3,1,3,2,0,3,2,19556,0
30,1,8,2,5,2,3,0,0,2,4,21091,0
60,1,13,3,3,1,5,1,0,5,2,34566,0
46,1,,1,3,1,3,0,0,5,2,19810,0
42,1,,1,4,0,3,2,0,3,1,19523,0
24,3,6,3,3,0,4,1,1,4,1,18202,1
34,3,12,2,5,0,3,0,0,4,1,17351,1
38,1,8,2,3,2,3,0,1,5,4,16702,0
40,3,8,2,3,0,3,1,0,3,1,33041,0
26,1,29,2,3,0,3,0,0,3,1,17886,0
30,1,9,3,3,3,3,0,0,3,3,17097,0
29,1,9,1,4,0,3,0,0,2,1,26935,0
29,1,31,1,4,0,4,2,0,3,1,17546,1
19,2,8,2,4,3,3,0,0,3,3,17564,1
30,3,28,3,3,4,5,1,0,2,0,23412,0
57,3,35,2,4,4,3,0,0,3,0,29118,0
50,1,35,3,4,0,3,2,0,5,1,32046,0
30,1,8,3,3,3,3,0,0,4,3,17564,0
60,3,34,3,4,1,5,1,0,2,2,25266,0
47,1,8,2,3,4,3,0,0,2,0,20070,0
46,1,8,2,3,0,3,2,0,5,1,32861,0
35,1,28,2,5,1,3,2,0,4,2,,0
,1,14,2,3,0,3,1,0,2,1,,0
34,1,8,3,4,3,3,0,0,5,3,17768,0
46,3,16,2,4,3,3,1,1,2,3,24071,0
31,1,15,3,3,3,4,0,0,3,3,25648,0
33,1,21,3,3,0,3,1,1,5,1,28610,1
,1,16,3,5,0,3,2,0,5,1,18408,1
30,3,13,2,3,3,4,0,0,2,3,17983,0
35,1,22,2,3,3,3,0,1,2,3,22632,0
31,1,26,2,3,3,3,1,0,3,3,24824,1
34,2,29,2,3,0,5,0,1,3,1,24950,1
42,1,11,3,3,3,3,3,0,3,3,17093,0
36,3,16,1,3,0,3,2,0,2,1,24980,0
,1,10,3,4,1,3,0,0,5,2,,1
,3,8,2,3,4,3,2,0,5,0,,0
55,3,24,2,3,1,4,2,0,2,2,31835,0
41,3,16,3,3,1,3,0,0,2,2,21230,0
35,3,,2,3,4,3,3,0,3,0,19717,0
40,1,12,2,3,0,3,0,0,5,1,28237,0
,1,14,2,3,1,3,3,0,2,2,,0
31,3,8,3,3,3,3,0,1,5,3,21582,0
42,1,30,2,3,1,5,0,1,2,2,22406,0
45,3,,2,3,0,4,1,0,5,1,19805,0
26,2,23,1,3,1,3,1,1,5,2,17741,1
29,1,,3,3,4,3,1,0,5,0,,0
33,1,6,2,2,3,3,1,0,2,3,31184,0
31,3,13,3,4,0,3,2,0,3,1,26557,0
18,3,11,2,3,3,4,1,1,4,3,16878,1
40,3,34,2,5,1,5,3,0,5,2,25932,0
41,1,8,3,4,1,3,1,1,2,2,21811,0
26,3,,3,3,1,3,2,0,5,2,,0
35,3,,2,3,1,3,2,0,4,2,19859,0
34,3,27,1,2,0,3,2,0,3,1,20337,0
26,1,30,1,5,3,3,3,1,3,3,17340,1
37,1,6,3,3,3,3,0,0,5,3,22491,0
46,1,24,2,3,4,3,0,0,3,0,25527,0
41,3,8,3,3,3,5,1,0,5,3,31595,0
37,3,15,1,3,1,4,1,0,2,2,23834,0
52,1,12,2,3,1,5,0,1,4,2,20577,0
32,3,,3,2,0,3,0,0,3,1,19707,1
24,3,30,3,3,1,3,0,0,4,2,17400,0
38,1,16,2,3,1,3,0,0,3,2,24824,0
37,1,6,2,3,2,4,1,0,2,4,21447,0
49,1,24,3,4,0,3,0,1,3,1,34502,0
24,1,29,3,2,1,3,0,1,4,2,17725,0
26,3,34,2,3,0,4,0,0,3,1,21272,0
24,1,23,3,4,2,4,0,0,3,4,17127,0
50,2,9,3,3,0,4,0,0,2,1,33200,0
25,3,19,2,3,0,3,0,0,3,1,17096,0
24,1,13,2,3,0,3,0,1,4,1,17886,1
30,3,18,2,4,0,5,0,0,5,1,17033,1
,1,6,3,4,1,3,1,1,2,2,18622,0
31,3,19,2,3,1,5,2,0,2,2,,1
,1,31,3,4,1,3,1,0,2,2,18681,0
31,3,12,3,2,0,3,1,0,5,1,20460,0
27,1,12,3,4,1,3,0,0,2,2,17187,0
37,3,8,2,3,0,3,2,1,3,1,24602,0
20,1,6,2,4,1,4,0,0,4,2,17836,0
,1,8,2,3,4,3,1,0,2,0,,0
43,1,12,2,4,0,3,2,1,3,1,31627,0
38,1,6,3,3,1,5,1,0,2,2,17619,0
43,1,15,2,3,4,3,0,1,3,0,20679,0
48,1,6,2,4,1,5,2,0,4,2,30402,0
44,2,6,1,4,0,3,1,0,5,1,20985,0
34,3,20,3,3,0,3,1,1,5,1,17579,0
27,3,8,1,3,0,5,2,0,5,1,18041,1
,3,28,2,3,2,3,0,0,2,4,18447,0
44,1,9,3,3,0,3,0,1,2,1,34513,0
22,1,12,3,3,1,3,1,0,2,2,17773,0
33,3,14,2,3,1,3,0,0,2,2,22104,0
32,1,15,3,3,0,3,1,1,5,1,21322,0
30,1,9,3,3,1,3,3,0,3,2,17083,0
53,3,6,2,3,0,5,0,0,2,1,23381,0
34,1,6,2,3,1,3,0,0,3,2,17691,0
45,3,,2,3,0,5,0,0,2,1,,1
26,1,12,2,3,3,3,0,1,2,3,17659,0
37,1,9,3,3,1,3,0,0,2,2,24434,0
29,3,9,2,3,1,3,3,0,2,2,20561,0
35,1,12,2,5,1,3,1,0,5,2,21646,0
33,1,12,3,3,3,3,0,0,5,3,22725,0
54,2,25,3,3,1,4,1,0,3,2,25725,0
36,1,15,3,4,0,4,2,1,4,1,23847,0
27,1,9,3,4,0,3,2,0,2,1,17045,0
20,1,16,2,3,0,3,2,1,5,1,16009,1
33,1,9,2,3,0,5,0,1,5,1,18348,1
35,1,9,3,4,0,3,0,0,2,1,16281,0
23,1,10,2,2,1,5,0,0,4,2,17819,0
25,3,,3,2,1,4,2,0,4,2,19851,0
