CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
200146,30,Self Enquiry,1,8,Small Business,Male,2,4,Basic,3,Single,1,0,4,0,0,Executive,17720,0
200147,41,Company Invited,1,16,Salaried,Male,3,4,Super Deluxe,5,Married,5,0,2,1,0,AVP,32181,0
200148,41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238,0
200149,19,Self Enquiry,1,9,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,2,Executive,16483,0
200150,40,Company Invited,1,32,Small Business,Female,2,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605,0
200151,35,Self Enquiry,3,6,Small Business,Male,3,3,Standard,4,Divorced,2,0,4,1,2,Senior Manager,22295,0
200152,53,Self Enquiry,3,12,Small Business,Male,2,3,Deluxe,3,Divorced,3,1,5,0,0,Manager,17306,0
200153,45,Self Enquiry,1,15,Salaried,Male,2,3,Deluxe,4,Married,1,0,4,1,0,Manager,17348,0
200154,32,Company Invited,3,14,Small Business,Fe Male,2,3,Standard,3,Unmarried,2,0,4,1,1,Senior Manager,23998,0
200155,29,Company Invited,1,,Large Business,Male,2,3,Deluxe,3,Divorced,2,0,3,0,1,Manager,,0
200156,51,Self Enquiry,1,13,Small Business,Male,2,4,Deluxe,3,Divorced,3,0,3,1,1,Manager,21132,0
200157,58,Self Enquiry,1,15,Small Business,Female,3,4,Basic,4,Divorced,5,1,2,1,0,Executive,18346,0
200158,40,Self Enquiry,3,10,Small Business,Male,3,4,Standard,3,Divorced,1,0,2,1,0,Senior Manager,25855,0
200159,34,Company Invited,3,8,Small Business,Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231,0
200160,22,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323,0
200161,27,Company Invited,1,15,Small Business,Male,2,3,Basic,4,Married,7,0,3,0,0,Executive,17024,0
200162,28,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Divorced,2,0,2,0,0,Executive,17713,0
200163,57,Self Enquiry,1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439,0
200164,27,Company Invited,1,9,Small Business,Male,3,4,Basic,3,Married,2,1,2,0,2,Executive,17566,0
200165,50,Self Enquiry,1,17,Salaried,Female,2,3,King,4,Single,4,0,5,1,,VP,34926,0
200166,41,Self Enquiry,1,20,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451,0
200167,30,Self Enquiry,3,11,Salaried,Female,2,3,Standard,3,Divorced,3,0,4,1,1,Senior Manager,24419,0
200168,38,Self Enquiry,3,6,Salaried,Fe Male,2,4,Deluxe,3,Unmarried,5,0,2,1,1,Manager,23686,0
200169,32,Self Enquiry,1,12,Salaried,Male,2,3,Basic,3,Single,4,0,2,0,1,Executive,18038,0
200170,27,Self Enquiry,1,23,Large Business,Male,2,3,Basic,4,Divorced,1,1,4,1,0,Executive,18058,0
200171,19,Company Invited,3,6,Large Business,Female,3,5,Basic,5,Single,1,0,3,1,1,Executive,17325,1
200172,36,Company Invited,1,9,Small Business,Male,1,3,Basic,4,Single,5,0,4,1,0,Executive,17088,0
200173,30,Company Invited,1,15,Small Business,Male,3,3,Deluxe,5,Married,2,0,2,0,1,Manager,18072,0
200174,45,Self Enquiry,3,10,Salaried,Female,1,,Deluxe,5,Married,5,1,4,0,0,Manager,20006,0
200175,56,Self Enquiry,1,,Salaried,Female,3,3,Basic,5,Married,5,1,4,1,1,Executive,,0
200176,33,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,1,0,3,0,1,Executive,17500,0
200177,19,Self Enquiry,1,8,Salaried,Male,2,4,Basic,3,Single,2,0,5,0,0,Executive,16102,1
200178,46,Self Enquiry,3,6,Small Business,Female,3,3,Standard,5,Married,2,0,2,1,1,Senior Manager,25453,0
200179,38,Self Enquiry,1,15,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,1,Executive,17288,0
200180,,Self Enquiry,1,18,Small Business,Female,3,3,Basic,3,Divorced,1,1,4,1,2,Executive,,0
200181,34,Self Enquiry,1,33,Small Business,Female,3,3,Basic,4,Single,3,0,3,1,0,Executive,17311,0
200182,41,Self Enquiry,3,26,Small Business,Female,3,3,Basic,4,Single,2,1,4,0,2,Executive,18140,1
200183,,Self Enquiry,1,6,Small Business,Male,2,4,Basic,3,Divorced,3,0,3,0,0,Executive,18690,0
200184,53,Self Enquiry,1,,Small Business,Female,2,2,Deluxe,5,Married,2,0,2,1,1,Manager,,0
200185,33,Self Enquiry,1,20,Small Business,Female,3,3,Basic,4,Divorced,2,0,5,0,0,Executive,17756,0
200186,40,Self Enquiry,1,10,Small Business,Female,2,3,King,3,Divorced,2,0,5,0,1,VP,34033,0
200187,55,Self Enquiry,1,20,Small Business,Male,3,2,King,4,Single,1,0,2,0,2,VP,33722,0
200188,34,Company Invited,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,0,0,Manager,24547,0
200189,51,Self Enquiry,1,9,Small Business,Female,3,3,Super Deluxe,4,Single,4,0,5,0,1,AVP,28734,0
200190,52,Self Enquiry,1,6,Salaried,Male,3,4,King,3,Divorced,1,0,2,1,,VP,34999,0
200191,27,Self Enquiry,1,15,Small Business,Female,2,3,Basic,4,Single,2,0,3,1,0,Executive,17279,0
200192,35,Self Enquiry,1,29,Salaried,Male,2,4,Deluxe,3,Divorced,4,1,4,1,1,Manager,20916,1
200193,43,Company Invited,1,13,Small Business,Male,2,2,Basic,3,Married,5,0,4,0,1,Executive,17089,0
200194,45,Company Invited,1,8,Small Business,Male,3,4,Super Deluxe,3,Divorced,1,0,4,1,0,AVP,31792,0
200195,,Self Enquiry,1,27,Salaried,Male,3,2,Basic,5,Divorced,2,1,3,0,2,Executive,18564,0
200196,35,Company Invited,1,,Small Business,Female,2,3,Deluxe,4,Single,6,0,2,1,0,Manager,,0
200197,42,Company Invited,1,27,Small Business,Female,2,3,Deluxe,3,Married,3,0,2,0,0,Manager,20265,0
200198,38,Self Enquiry,1,8,Salaried,Male,2,3,Deluxe,3,Divorced,1,0,2,0,1,Manager,21553,0
200199,38,Self Enquiry,1,35,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,21261,0
200200,27,Company Invited,1,,Large Business,Male,2,4,Deluxe,5,Divorced,6,0,3,0,1,Manager,,0
200201,49,Company Invited,1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,2,0,1,Manager,21804,0
200202,,Company Invited,1,16,Small Business,Male,2,3,Basic,3,Married,2,1,3,1,0,Executive,,0
200203,40,Self Enquiry,1,25,Small Business,Male,2,3,Deluxe,3,Divorced,1,1,2,1,1,Manager,17741,0
200204,38,Self Enquiry,1,35,Small Business,Male,3,3,Deluxe,5,Divorced,1,1,3,0,1,Manager,21673,1
200205,29,Self Enquiry,3,33,Small Business,Female,2,3,Standard,3,Divorced,2,0,3,1,1,Senior Manager,22639,1
200206,22,Self Enquiry,1,11,Salaried,Male,2,2,Basic,4,Married,2,1,4,0,0,Executive,17328,0
200207,36,Company Invited,1,24,Small Business,Female,3,3,Basic,3,Single,2,0,3,1,2,Executive,17153,0
200208,40,Company Invited,1,,Salaried,Male,3,4,Deluxe,3,Divorced,1,0,5,1,0,Manager,19876,0
200209,46,Self Enquiry,1,6,Small Business,Male,3,3,Standard,5,Married,1,0,2,0,0,Senior Manager,24396,0
200210,32,Self Enquiry,3,10,Small Business,Male,2,5,Standard,3,Divorced,2,0,2,1,1,Senior Manager,25400,1
200211,30,Company Invited,1,6,Salaried,Male,2,4,Standard,3,Unmarried,2,0,5,1,1,Senior Manager,23474,0
200212,27,Company Invited,3,26,Salaried,Fe Male,2,3,Deluxe,3,Unmarried,2,0,2,1,1,Manager,24981,0
200213,51,Self Enquiry,1,14,Salaried,Male,2,4,Standard,4,Divorced,6,0,3,1,1,Senior Manager,27490,0
200214,30,Self Enquiry,1,9,Large Business,Female,2,3,Basic,5,Single,6,1,4,1,1,Executive,17657,1
200215,41,Self Enquiry,3,12,Salaried,Fe Male,3,3,Standard,3,Single,4,1,2,0,1,Senior Manager,28591,0
200216,30,Company Invited,3,32,Small Business,Female,2,4,Deluxe,5,Unmarried,6,0,2,0,1,Manager,21696,1
200217,29,Self Enquiry,1,6,Large Business,Male,2,3,Basic,3,Single,1,0,2,0,0,Executive,17058,1
200218,45,Company Invited,3,12,Small Business,Fe Male,2,4,Standard,3,Unmarried,7,0,4,1,0,Senior Manager,23865,0
200219,54,Self Enquiry,3,9,Small Business,Female,2,3,Deluxe,5,Divorced,3,0,4,1,1,Manager,20940,0
200220,36,Self Enquiry,1,11,Salaried,Male,3,3,Deluxe,4,Single,1,0,2,0,2,Manager,20914,0
200221,33,Self Enquiry,1,10,Small Business,Female,2,4,Basic,4,Divorced,7,0,4,0,0,Executive,17622,0
200222,37,Company Invited,1,17,Salaried,Male,2,3,Standard,3,Married,2,1,3,0,1,Senior Manager,27185,0
200223,38,Self Enquiry,3,9,Salaried,Male,3,3,Standard,3,Married,1,0,2,1,1,Senior Manager,25609,0
200224,31,,1,,Small Business,Male,2,5,Deluxe,3,Divorced,1,0,3,1,0,Manager,,0
200225,59,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Divorced,4,0,3,0,1,Executive,17177,0
200226,37,Company Invited,3,10,Small Business,Male,2,3,Basic,3,Married,5,0,4,1,0,Executive,17177,0
200227,29,Company Invited,3,6,Small Business,Female,2,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,22918,0
200228,35,Company Invited,3,6,Small Business,Fe Male,3,3,Standard,3,Unmarried,2,0,5,1,0,Senior Manager,23789,0
200229,29,Self Enquiry,1,24,Small Business,Male,2,4,Basic,3,Single,2,1,3,0,1,Executive,17389,1
200230,52,Self Enquiry,1,8,Salaried,Female,2,4,Basic,3,Single,1,0,3,0,0,Executive,18212,0
200231,42,Self Enquiry,1,10,Large Business,Male,2,3,King,3,Divorced,2,0,2,0,1,VP,34232,0
200232,59,Self Enquiry,2,12,Small Business,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17267,0
200233,50,Self Enquiry,3,6,Small Business,Female,3,3,King,3,Married,4,0,2,1,1,VP,34517,0
