 Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
41,35,Self Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,0,0,Executive,16951,0
42,27,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341,0
43,26,Self Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293,1
44,27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,Senior Manager,23726,0
45,,Company Invited,1,6,Small Business,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,,0
46,41,Self Enquiry,1,18,Large Business,Female,2,3,King,3,Divorced,2,0,4,1,0,VP,34545,1
47,34,Company Invited,3,,Small Business,Male,3,3,Deluxe,3,Single,1,0,5,1,1,Manager,19568,0
48,37,Self Enquiry,1,25,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022,0
49,46,Company Invited,3,11,Small Business,Male,3,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772,0
50,35,Self Enquiry,1,14,Salaried,Male,2,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269,0
51,48,Self Enquiry,1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,2,Senior Manager,20381,1
52,,Self Enquiry,1,11,Large Business,Male,2,3,Basic,3,Single,2,1,2,1,0,Executive,18441,1
53,44,Self Enquiry,3,6,Small Business,Female,3,3,Deluxe,5,Married,6,1,2,0,0,Manager,20454,0
54,35,Company Invited,1,17,Small Business,Male,3,4,Standard,5,Divorced,3,1,5,1,1,Senior Manager,24884,0
55,,Self Enquiry,3,29,Small Business,Female,2,4,Deluxe,3,Divorced,1,1,2,1,0,Manager,,0
56,33,Company Invited,1,6,Salaried,Fe Male,3,3,Standard,3,Unmarried,2,1,2,1,0,Senior Manager,28458,0
57,35,Company Invited,3,24,Salaried,Male,3,3,Standard,5,Divorced,2,0,4,1,0,Senior Manager,24069,0
58,,Self Enquiry,1,29,Small Business,Female,1,3,Basic,5,Divorced,4,1,4,1,0,Executive,,0
59,31,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,1,0,Manager,20915,0
60,37,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Married,2,0,5,1,1,Manager,20993,0
61,32,Self Enquiry,1,6,Small Business,Male,2,3,Deluxe,3,Divorced,2,1,4,1,0,Manager,21162,0
62,38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,0
63,50,Self Enquiry,1,13,Small Business,Female,2,4,King,3,Married,6,1,4,1,1,VP,33740,0
64,59,Self Enquiry,3,31,Salaried,Female,2,3,Standard,5,Unmarried,1,0,3,1,0,Senior Manager,22637,0
65,36,Self Enquiry,1,14,Large Business,Female,2,3,Standard,3,Married,2,0,4,1,1,Senior Manager,25096,0
66,55,Self Enquiry,1,14,Small Business,Female,2,3,Super Deluxe,3,Married,3,1,3,0,1,AVP,29756,0
67,36,Company Invited,1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499,0
68,45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724,0
69,35,Company Invited,1,6,Small Business,Male,3,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194,0
70,,Self Enquiry,1,15,Small Business,Male,3,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388,1
71,59,Company Invited,3,6,Salaried,Female,2,4,Deluxe,3,Single,1,0,5,1,1,Manager,20473,0
72,29,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703,0
73,31,Self Enquiry,1,6,Small Business,Male,2,3,Basic,4,Single,2,0,3,0,0,Executive,17501,0
74,32,Self Enquiry,1,6,Salaried,Male,3,3,Deluxe,4,Divorced,2,0,3,0,0,Manager,21220,0
75,36,Self Enquiry,1,12,Salaried,Female,2,2,Deluxe,3,Divorced,4,0,2,0,0,Manager,18038,0
76,31,Self Enquiry,1,,Salaried,Female,3,3,Deluxe,3,Single,2,0,5,0,1,Manager,,0
77,35,Self Enquiry,3,,Small Business,Male,2,4,Deluxe,5,Single,1,0,2,0,1,Manager,,0
78,45,Self Enquiry,1,12,Salaried,Male,2,3,Standard,5,Divorced,5,1,3,0,0,Senior Manager,28245,0
79,37,Self Enquiry,1,13,Small Business,Male,1,3,Standard,3,Single,5,0,2,0,0,Senior Manager,28664,0
80,46,Self Enquiry,2,11,Small Business,Male,3,,Deluxe,4,Married,1,1,5,0,1,Manager,20021,0
81,30,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,20126,0
82,35,Self Enquiry,1,6,Small Business,Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859,0
83,55,Self Enquiry,3,6,Salaried,Male,3,3,Standard,3,Divorced,4,0,2,0,1,Senior Manager,25239,0
84,38,Company Invited,1,12,Small Business,Female,3,5,Deluxe,3,Married,1,1,2,0,2,Manager,20329,0
85,34,Self Enquiry,1,,Small Business,Male,3,3,Deluxe,4,Divorced,2,0,5,0,0,Manager,,0
86,56,Self Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,2,0,0,Senior Manager,22260,0
87,23,Self Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,1,Executive,17322,0
88,51,Self Enquiry,1,15,Salaried,Male,3,3,Basic,3,Divorced,4,0,3,1,0,Executive,17075,0
89,,Self Enquiry,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,1,0,Manager,,0
90,46,Self Enquiry,3,15,Small Business,Male,3,4,Standard,3,Unmarried,2,0,5,0,1,Senior Manager,24619,1
91,40,Company Invited,1,6,Salaried,Male,3,4,Super Deluxe,4,Divorced,2,0,2,1,2,AVP,28503,0
92,51,Self Enquiry,3,27,Small Business,Male,3,3,Deluxe,3,Single,1,1,5,1,1,Manager,20441,0
93,30,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,4,Married,2,1,3,1,1,Manager,20209,0
94,46,Company Invited,1,6,Small Business,Male,2,4,Standard,5,Divorced,3,1,2,1,1,Senior Manager,25673,0
95,32,Self Enquiry,3,12,Small Business,Male,2,,Deluxe,3,Single,2,0,5,1,0,Manager,20010,0
96,54,Self Enquiry,1,8,Large Business,Female,2,3,Standard,3,Divorced,1,0,4,1,0,Senior Manager,28549,0
97,24,Self Enquiry,3,9,Salaried,Female,2,,Deluxe,3,Divorced,1,0,4,1,0,Manager,19999,0
98,,Company Invited,3,10,Small Business,Male,2,3,Deluxe,3,Divorced,2,0,2,1,0,Manager,,0
99,58,Self Enquiry,3,16,Small Business,Male,2,3,Super Deluxe,3,Single,1,0,3,1,1,AVP,28872,0
100,44,Company Invited,1,29,Small Business,Male,3,3,Deluxe,4,Divorced,5,0,3,1,0,Manager,17042,0
101,37,Self Enquiry,2,12,Salaried,Male,3,3,Basic,5,Married,5,1,2,1,0,Executive,17073,1
102,32,Self Enquiry,1,6,Salaried,Male,3,3,Basic,5,Single,2,0,2,0,2,Executive,17956,0
103,20,Company Invited,1,12,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,Executive,17926,1
104,34,Self Enquiry,1,,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,19809,0
105,37,Company Invited,1,8,Salaried,Male,3,4,Deluxe,3,Married,6,0,2,0,1,Manager,20163,0
106,59,Company Invited,2,8,Salaried,Female,2,4,King,3,Divorced,1,0,2,1,1,VP,33844,0
107,50,Company Invited,1,6,Salaried,Female,3,3,King,4,Divorced,4,1,2,0,2,VP,33172,0
108,25,Self Enquiry,3,11,Small Business,Male,2,4,Deluxe,3,Single,2,1,3,1,0,Manager,20744,1
109,25,Self Enquiry,1,13,Small Business,Male,3,4,Basic,3,Divorced,2,0,2,1,2,Executive,17889,0
110,22,Self Enquiry,1,21,Small Business,Female,2,3,Basic,3,Single,2,0,2,1,1,Executive,17871,0
111,51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Unmarried,4,0,2,1,0,Senior Manager,22484,0
112,34,Company Invited,1,13,Salaried,Male,3,5,Deluxe,3,Single,2,1,5,1,1,Manager,21074,1
113,54,Company Invited,2,32,Salaried,Female,1,2,Super Deluxe,3,Single,3,1,3,1,0,AVP,32328,0
114,24,Self Enquiry,1,24,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774,0
115,34,Self Enquiry,1,,Salaried,Female,2,4,Deluxe,4,Married,7,0,3,0,1,Manager,19505,0
116,37,Self Enquiry,3,9,Salaried,Male,2,3,Standard,3,Unmarried,3,0,3,0,0,Senior Manager,22428,0
117,34,Self Enquiry,1,11,Small Business,Fe Male,2,4,Standard,5,Unmarried,3,0,2,0,0,Senior Manager,26631,0
118,36,Company Invited,3,17,Large Business,Female,3,3,Standard,3,Divorced,1,0,5,0,0,Senior Manager,24738,0
119,36,Self Enquiry,1,9,Salaried,Female,2,3,Basic,3,Married,6,0,2,1,0,Executive,17835,0
120,43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Divorced,2,1,2,0,0,AVP,31959,0
121,30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,Executive,17613,0
122,33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Divorced,1,0,2,0,1,Manager,21146,0
123,56,Self Enquiry,1,20,Salaried,Female,3,,Basic,4,Divorced,1,1,5,1,1,Executive,19963,1
124,51,Self Enquiry,1,12,Salaried,Male,2,3,King,3,Single,1,0,5,1,0,VP,34537,0
125,31,Self Enquiry,3,12,Salaried,Male,3,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172,1
126,26,Self Enquiry,1,12,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368,0
127,58,Self Enquiry,1,29,Small Business,Female,3,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,25312,1
128,19,Self Enquiry,3,28,Small Business,Male,2,3,Basic,3,Single,2,1,2,0,1,Executive,16675,1
129,22,Self Enquiry,1,8,Large Business,Male,3,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523,0
130,49,Self Enquiry,1,26,Small Business,Female,3,3,Deluxe,5,Divorced,2,0,2,1,2,Manager,21567,0
131,43,Company Invited,1,,Small Business,Female,3,2,Basic,3,Single,5,0,3,0,2,Executive,19739,0
132,50,Company Invited,3,18,Small Business,Fe Male,3,3,Standard,3,Unmarried,5,0,5,0,0,Senior Manager,24208,0
133,31,Self Enquiry,3,,Salaried,Female,3,5,Deluxe,3,Divorced,4,1,3,1,0,Manager,19559,1
134,41,Self Enquiry,3,15,Salaried,Male,3,3,Standard,3,Married,4,1,2,0,1,Senior Manager,23189,0
135,26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Divorced,2,0,4,1,0,Executive,17942,0
136,36,Self Enquiry,1,12,Small Business,Male,2,,Deluxe,4,Married,7,0,4,1,1,Manager,19941,0
137,51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,2,0,1,Senior Manager,25650,1
138,39,Self Enquiry,3,10,Salaried,Female,2,4,Deluxe,3,Divorced,5,0,5,1,0,Manager,20902,0
139,25,Self Enquiry,3,34,Salaried,Male,2,4,Deluxe,3,Divorced,3,0,4,0,0,Manager,23639,0
140,30,Self Enquiry,2,15,Salaried,Male,2,3,Deluxe,3,Divorced,1,1,3,1,1,Manager,21347,0
141,,Self Enquiry,1,15,Small Business,Female,2,3,Basic,5,Single,1,0,4,1,1,Executive,,1
142,,Self Enquiry,1,35,Small Business,Male,2,3,Basic,3,Single,6,0,2,1,0,Executive,18452,0
143,38,Self Enquiry,1,9,Large Business,Female,2,3,Deluxe,3,Single,4,1,5,0,0,Manager,1000,0
144,30,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,0,Executive,17632,0
145,32,Company Invited,3,,Small Business,Male,2,5,Deluxe,3,Married,1,0,2,0,1,Manager,19668,0
146,30,Self Enquiry,1,11,Large Business,Female,2,3,Basic,5,Married,6,0,5,1,1,Executive,18204,0
147,30,Self Enquiry,1,8,Small Business,Male,2,4,Basic,3,Single,1,0,4,0,0,Executive,17720,0
148,41,Company Invited,1,16,Salaried,Male,3,4,Super Deluxe,5,Married,5,0,2,1,0,AVP,32181,0
149,41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238,0
150,19,Self Enquiry,1,9,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,2,Executive,16483,0
151,40,Company Invited,1,32,Small Business,Female,2,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605,0
152,35,Self Enquiry,3,6,Small Business,Male,3,3,Standard,4,Divorced,2,0,4,1,2,Senior Manager,22295,0
153,53,Self Enquiry,3,12,Small Business,Male,2,3,Deluxe,3,Divorced,3,1,5,0,0,Manager,17306,0
154,45,Self Enquiry,1,15,Salaried,Male,2,3,Deluxe,4,Married,1,0,4,1,0,Manager,17348,0
155,32,Company Invited,3,14,Small Business,Fe Male,2,3,Standard,3,Unmarried,2,0,4,1,1,Senior Manager,23998,0
156,29,Company Invited,1,,Large Business,Male,2,3,Deluxe,3,Divorced,2,0,3,0,1,Manager,,0
157,51,Self Enquiry,1,13,Small Business,Male,2,4,Deluxe,3,Divorced,3,0,3,1,1,Manager,21132,0
158,58,Self Enquiry,1,15,Small Business,Female,3,4,Basic,4,Divorced,5,1,2,1,0,Executive,18346,0
159,40,Self Enquiry,3,10,Small Business,Male,3,4,Standard,3,Divorced,1,0,2,1,0,Senior Manager,25855,0
160,34,Company Invited,3,8,Small Business,Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231,0
161,22,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323,0
162,27,Company Invited,1,15,Small Business,Male,2,3,Basic,4,Married,7,0,3,0,0,Executive,17024,0
163,28,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Divorced,2,0,2,0,0,Executive,17713,0
164,57,Self Enquiry,1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439,0
165,27,Company Invited,1,9,Small Business,Male,3,4,Basic,3,Married,2,1,2,0,2,Executive,17566,0
166,50,Self Enquiry,1,17,Salaried,Female,2,3,King,4,Single,4,0,5,1,,VP,34926,0
167,41,Self Enquiry,1,20,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451,0
168,30,Self Enquiry,3,11,Salaried,Female,2,3,Standard,3,Divorced,3,0,4,1,1,Senior Manager,24419,0
169,38,Self Enquiry,3,6,Salaried,Fe Male,2,4,Deluxe,3,Unmarried,5,0,2,1,1,Manager,23686,0
170,32,Self Enquiry,1,12,Salaried,Male,2,3,Basic,3,Single,4,0,2,0,1,Executive,18038,0
171,27,Self Enquiry,1,23,Large Business,Male,2,3,Basic,4,Divorced,1,1,4,1,0,Executive,18058,0
172,19,Company Invited,3,6,Large Business,Female,3,5,Basic,5,Single,1,0,3,1,1,Executive,17325,1
173,36,Company Invited,1,9,Small Business,Male,1,3,Basic,4,Single,5,0,4,1,0,Executive,17088,0
174,30,Company Invited,1,15,Small Business,Male,3,3,Deluxe,5,Married,2,0,2,0,1,Manager,18072,0
175,45,Self Enquiry,3,10,Salaried,Female,1,,Deluxe,5,Married,5,1,4,0,0,Manager,20006,0
176,56,Self Enquiry,1,,Salaried,Female,3,3,Basic,5,Married,5,1,4,1,1,Executive,,0
177,33,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,1,0,3,0,1,Executive,17500,0
178,19,Self Enquiry,1,8,Salaried,Male,2,4,Basic,3,Single,2,0,5,0,0,Executive,16102,1
179,46,Self Enquiry,3,6,Small Business,Female,3,3,Standard,5,Married,2,0,2,1,1,Senior Manager,25453,0
180,38,Self Enquiry,1,15,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,1,Executive,17288,0
181,,Self Enquiry,1,18,Small Business,Female,3,3,Basic,3,Divorced,1,1,4,1,2,Executive,,0
182,34,Self Enquiry,1,33,Small Business,Female,3,3,Basic,4,Single,3,0,3,1,0,Executive,17311,0
183,41,Self Enquiry,3,26,Small Business,Female,3,3,Basic,4,Single,2,1,4,0,2,Executive,18140,1
184,,Self Enquiry,1,6,Small Business,Male,2,4,Basic,3,Divorced,3,0,3,0,0,Executive,18690,0
185,53,Self Enquiry,1,,Small Business,Female,2,2,Deluxe,5,Married,2,0,2,1,1,Manager,,0
186,33,Self Enquiry,1,20,Small Business,Female,3,3,Basic,4,Divorced,2,0,5,0,0,Executive,17756,0
187,40,Self Enquiry,1,10,Small Business,Female,2,3,King,3,Divorced,2,0,5,0,1,VP,34033,0
188,55,Self Enquiry,1,20,Small Business,Male,3,2,King,4,Single,1,0,2,0,2,VP,33722,0
189,34,Company Invited,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,0,0,Manager,24547,0
190,51,Self Enquiry,1,9,Small Business,Female,3,3,Super Deluxe,4,Single,4,0,5,0,1,AVP,28734,0
191,52,Self Enquiry,1,6,Salaried,Male,3,4,King,3,Divorced,1,0,2,1,,VP,34999,0
192,27,Self Enquiry,1,15,Small Business,Female,2,3,Basic,4,Single,2,0,3,1,0,Executive,17279,0
193,35,Self Enquiry,1,29,Salaried,Male,2,4,Deluxe,3,Divorced,4,1,4,1,1,Manager,20916,1
194,43,Company Invited,1,13,Small Business,Male,2,2,Basic,3,Married,5,0,4,0,1,Executive,17089,0
195,45,Company Invited,1,8,Small Business,Male,3,4,Super Deluxe,3,Divorced,1,0,4,1,0,AVP,31792,0
196,,Self Enquiry,1,27,Salaried,Male,3,2,Basic,5,Divorced,2,1,3,0,2,Executive,18564,0
197,35,Company Invited,1,,Small Business,Female,2,3,Deluxe,4,Single,6,0,2,1,0,Manager,,0
198,42,Company Invited,1,27,Small Business,Female,2,3,Deluxe,3,Married,3,0,2,0,0,Manager,20265,0
199,38,Self Enquiry,1,8,Salaried,Male,2,3,Deluxe,3,Divorced,1,0,2,0,1,Manager,21553,0
200,38,Self Enquiry,1,35,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,21261,0
201,27,Company Invited,1,,Large Business,Male,2,4,Deluxe,5,Divorced,6,0,3,0,1,Manager,,0
202,49,Company Invited,1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,2,0,1,Manager,21804,0
203,,Company Invited,1,16,Small Business,Male,2,3,Basic,3,Married,2,1,3,1,0,Executive,,0
204,40,Self Enquiry,1,25,Small Business,Male,2,3,Deluxe,3,Divorced,1,1,2,1,1,Manager,17741,0
205,38,Self Enquiry,1,35,Small Business,Male,3,3,Deluxe,5,Divorced,1,1,3,0,1,Manager,21673,1
206,29,Self Enquiry,3,33,Small Business,Female,2,3,Standard,3,Divorced,2,0,3,1,1,Senior Manager,22639,1
207,22,Self Enquiry,1,11,Salaried,Male,2,2,Basic,4,Married,2,1,4,0,0,Executive,17328,0
208,36,Company Invited,1,24,Small Business,Female,3,3,Basic,3,Single,2,0,3,1,2,Executive,17153,0
209,40,Company Invited,1,,Salaried,Male,3,4,Deluxe,3,Divorced,1,0,5,1,0,Manager,19876,0
210,46,Self Enquiry,1,6,Small Business,Male,3,3,Standard,5,Married,1,0,2,0,0,Senior Manager,24396,0
211,32,Self Enquiry,3,10,Small Business,Male,2,5,Standard,3,Divorced,2,0,2,1,1,Senior Manager,25400,1
212,30,Company Invited,1,6,Salaried,Male,2,4,Standard,3,Unmarried,2,0,5,1,1,Senior Manager,23474,0
213,27,Company Invited,3,26,Salaried,Fe Male,2,3,Deluxe,3,Unmarried,2,0,2,1,1,Manager,24981,0
214,51,Self Enquiry,1,14,Salaried,Male,2,4,Standard,4,Divorced,6,0,3,1,1,Senior Manager,27490,0
215,30,Self Enquiry,1,9,Large Business,Female,2,3,Basic,5,Single,6,1,4,1,1,Executive,17657,1
216,41,Self Enquiry,3,12,Salaried,Fe Male,3,3,Standard,3,Single,4,1,2,0,1,Senior Manager,28591,0
217,30,Company Invited,3,32,Small Business,Female,2,4,Deluxe,5,Unmarried,6,0,2,0,1,Manager,21696,1
218,29,Self Enquiry,1,6,Large Business,Male,2,3,Basic,3,Single,1,0,2,0,0,Executive,17058,1
219,45,Company Invited,3,12,Small Business,Fe Male,2,4,Standard,3,Unmarried,7,0,4,1,0,Senior Manager,23865,0
220,54,Self Enquiry,3,9,Small Business,Female,2,3,Deluxe,5,Divorced,3,0,4,1,1,Manager,20940,0
221,36,Self Enquiry,1,11,Salaried,Male,3,3,Deluxe,4,Single,1,0,2,0,2,Manager,20914,0
222,33,Self Enquiry,1,10,Small Business,Female,2,4,Basic,4,Divorced,7,0,4,0,0,Executive,17622,0
223,37,Company Invited,1,17,Salaried,Male,2,3,Standard,3,Married,2,1,3,0,1,Senior Manager,27185,0
224,38,Self Enquiry,3,9,Salaried,Male,3,3,Standard,3,Married,1,0,2,1,1,Senior Manager,25609,0
225,31,,1,,Small Business,Male,2,5,Deluxe,3,Divorced,1,0,3,1,0,Manager,,0
226,59,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Divorced,4,0,3,0,1,Executive,17177,0
227,37,Company Invited,3,10,Small Business,Male,2,3,Basic,3,Married,5,0,4,1,0,Executive,17177,0
228,29,Company Invited,3,6,Small Business,Female,2,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,22918,0
229,35,Company Invited,3,6,Small Business,Fe Male,3,3,Standard,3,Unmarried,2,0,5,1,0,Senior Manager,23789,0
230,29,Self Enquiry,1,24,Small Business,Male,2,4,Basic,3,Single,2,1,3,0,1,Executive,17389,1
231,52,Self Enquiry,1,8,Salaried,Female,2,4,Basic,3,Single,1,0,3,0,0,Executive,18212,0
232,42,Self Enquiry,1,10,Large Business,Male,2,3,King,3,Divorced,2,0,2,0,1,VP,34232,0
233,59,Self Enquiry,2,12,Small Business,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17267,0
234,50,Self Enquiry,3,6,Small Business,Female,3,3,King,3,Married,4,0,2,1,1,VP,34517,0
235,33,Self Enquiry,1,20,Small Business,Male,2,3,Basic,3,Divorced,6,1,2,0,1,Executive,17436,1
236,43,Self Enquiry,3,22,Small Business,Female,3,3,Super Deluxe,3,Divorced,6,1,3,0,1,AVP,31064,0
237,33,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Divorced,1,0,3,1,0,Executive,17707,1
238,52,Company Invited,3,8,Salaried,Male,3,4,King,3,Single,2,1,2,1,2,VP,34068,0
